num,nma_name,sname
1,1 = DMARD/MTX,cdmards
2,2 = ABA 10 + DMARD/MTX,abtivmtx
3,3 = ABA SC 125 + DMARD/MTX,abtscmtx
4,4 = ADA 40,ada
5,5 = ADA 40 + DMARD/MTX,adamtx
6,6 = ANA 100 + DMARD/MTX,
7,7 = CZP 200 + DMARD/MTX,
8,8 = CZP 400,czp
9,9 = CZP 400 + DMARD/MTX,czpmtx
10,10 = ETN 50,etn
11,11 = ETN 50 + DMARD/MTX,etnmtx
12,12 = GOL 50 + DMARD/MTX,golmtx
13,13 = INF 3 + DMARD/MTX,ifxmtx
14,14 = PLAC,placebo
15,15 = RTX 1000 + DMARD/MTX,rtxmtx
16,16 = SAR 150 + DMARD/MTX,
17,17 = SAR 200,
18,18 = SAR 200 + DMARD/MTX,
19,19 = TOC 4 + DMARD/MTX,
20,20 = TOC 8,
21,21 = TOC 8 + DMARD/MTX,tczmtx
22,22 = TOC SC 162,tcz
23,23 = TOF 5,tof
24,24 = TOF 5 + DMARD/MTX,tofmtx
25,,nbt
26,,gol
27,,golmtx
28,,rtx
29,,tt
